Pressione, Can A in funzione di Posizione, Can 1 e 2, Raccolta #3
Posizione, Can 1 e 2 ( m )	Pressione, Can A ( kPa )
0,000000	0,346
0,000000	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,336
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,341
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,336
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,341
-6,250000E-5	0,336
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,346
-6,250000E-5	0,336
-6,250000E-5	0,341
-6,250000E-5	0,341
-6,250000E-5	0,336
-6,250000E-5	0,341
-6,250000E-5	0,346
-6,250000E-5	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,341
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,341
-1,250000E-4	0,336
-1,250000E-4	0,346
-1,250000E-4	0,336
-1,250000E-4	0,346
